Name,Conference,SOS,Comp Percent,Y/A,Att/TD,Att/INT,WR DR,Starter,Draft Position,Age,Height,Weight,Class,Adj.CarAV,Proj AV,Adj,Surplus
Mike McMahon,BigEast,2.15,-1.098532495,-0.863157895,0.491352201,-1.083056478,0.483,4,149,21,74,215,Fail,1.2,1.869358,1.869358,-0.669358
Josh Harris,MAC,-1.218,1.358766234,0.439655172,0.505351682,0.366777409,0.584,2,187,21,73,238,Fail,0,0.71716,0.71716,-0.71716
Colt Brennan,WAC,-2.385,2.080152672,1.704545455,1.257534247,-0.436774194,0.457,3,186,24,75,212,Fail,0,0.747481,0.747481,-0.747481
Joey Harrington,PAC,4.67,0.492907801,0.439655172,0.989010989,2.318257956,0.555,2,3,23,76,210,Fail,5.5,6.296224,6.296224,-0.796224
Mark Sanchez,PAC,2.872,1.141791045,1.603773585,1.053453947,-0.137880987,0.507,1,5,22,74,225,Fail,5.43,6.235582,6.235582,-0.805582
Rusty Smith,SunBelt,0.28,-0.472160356,0.348314607,0.533492823,0.578534031,0.424,4,176,22,77,226,Fail,0.17,1.050691,1.050691,-0.880691
Dan LeFevour,MAC,-3.456,2.289532294,0.235955056,0.745215311,1.339790576,0.656,4,181,22,75,230,Fail,0,0.899086,0.899086,-0.899086
TJ Yates,ACC,1.256,1.269685039,0.769230769,-0.071770335,0.723822909,0.486,3,152,23,75,219,Fail,0.8,1.778395,1.778395,-0.978395
Mike Teel,BigEast,0.933,0.320895522,1.41509434,0.635690789,-0.360667634,0.659,3,178,22,75,230,Fail,0,0.990049,0.990049,-0.990049
Dan Orlovsky,BigEast,-2.224,1.003571429,0.20212766,0.376190476,-0.401108033,0.481,4,145,21,77,230,Fail,1,1.990642,1.990642,-0.990642
Chad Henne,Big10,2.081,-0.229007634,0,0.856164384,-0.379354839,0.89,4,57,22,75,230,Fail,3.63,4.65889,4.65889,-1.02889
Seneca Wallace,Big12,5.67,-0.180722892,0.187368421,-0.70310702,-0.674329502,0.512,2,110,22,71,205,Fail,2,3.051877,3.051877,-1.051877
Tony Eason,Big10,5.4,1.394247039,0.383838384,0.20866426,0.638629283,0.583,2,15,23,76,212,Fail,4.88,5.932372,5.932372,-1.052372
Tom Brandstater,WAC,-2.033,-0.014925373,0.094339623,0.244243421,-0.343976778,0.576,3,174,24,77,223,Fail,0,1.111333,1.111333,-1.111333
Steve Fuller,ACC,2.52,0.586142322,1.21,0.178856792,3.333746898,0.974,3,23,21,76,198,Fail,4.57,5.689804,5.689804,-1.119804
Dennis Dixon,PAC,2.683,1.564885496,1.590909091,1.356164384,1.724516129,0.609,2,156,22,75,217,Fail,0.5,1.657111,1.657111,-1.157111
Josh Booty,SEC,2.18,-1.035639413,0.189473684,0.635220126,-1.138704319,0.835,2,172,25,75,210,Fail,0,1.171975,1.171975,-1.171975
John Dutton,MWC,-3.44,1.137037037,2.216981132,0.458081824,2.196031746,0.529,2,172,22,76,225,Fail,0,1.171975,1.171975,-1.171975
Nate Davis,MAC,-5.121,0.861940299,1.79245283,0.670230263,0.353047896,0.41,3,171,21,74,226,Fail,0,1.202296,1.202296,-1.202296
Reggie Collier,IND,-0.23,-1.499153976,-1.03030303,-1.472924188,0.77258567,1.037,3,162,21,75,205,Fail,0.25,1.475185,1.475185,-1.225185
Jonathan Crompton,SEC,3.777,-0.249443207,0.011235955,0.994019139,-0.52617801,0.374,2,168,22,76,225,Fail,0,1.293259,1.293259,-1.293259
Sage Rosenfels,Big12,2.84,-0.679245283,-0.231578947,-1.296383648,-0.439368771,0.771,2,109,22,76,222,Fail,1.75,3.082198,3.082198,-1.332198
Kurt Kittner,Big10,3.79,-0.127659574,0.784482759,0.734432234,-0.353433836,0.667,4,158,21,75,212,Fail,0.25,1.596469,1.596469,-1.346469
Chris Weinke,ACC,5.59,1.417190776,2.715789474,0.949685535,0.509966777,0.597,3,106,28,76,235,Fail,1.8,3.173161,3.173161,-1.373161
Omar Jacobs,MAC,-2.817,0.477186312,0.963636364,0.828890267,0.654924984,0.536,2,164,21,76,235,Fail,0,1.414543,1.414543,-1.414543
Christian Ponder,ACC,3.803,0.226377953,-0.480769231,0.795454545,0.054813774,0.292,3,12,22,74,229,Fail,4.6,6.023335,6.023335,-1.423335
Brian St. Pierre,BigEast,0.53,0.441767068,0.187368421,0.093210587,-0.717113665,0.297,2,163,23,75,224,Fail,0,1.444864,1.444864,-1.444864
Brandon Doman,MWC,-3.11,1.414893617,1.387931034,1.091575092,1.508375209,0.518,1,163,25,73,210,Fail,0,1.444864,1.444864,-1.444864
Tee Martin,SEC,7.14,-0.193277311,0.449541284,-0.079470199,0.059168443,0.683,2,163,21,74,225,Fail,0,1.444864,1.444864,-1.444864
